Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7495115279406018,0.7463377023901311,0.75625,0.7512611563833915,0.7887864053948397
Decision Tree,0.7717858538491599,0.7620481927710844,0.790625,0.7760736196319018,0.810699887607506
Random Forest,0.7749120750293084,0.7754303599374022,0.77421875,0.7748240813135262,0.829035134870993
XGBoost (Baseline),0.7686596326690114,0.7670807453416149,0.771875,0.7694704049844237,0.829429730258014
XGBoost (Tuned),0.7729581867917155,0.7741176470588236,0.77109375,0.7726027397260274,0.826775679241595
